author	title	ids
Henry James	Within the Rim and Other Essays	uc1.b4103283
Henry James	Notes and Reviews	uc1.32106001652897;hvd.32044015553654
Oscar Wilde	The Decay of Lying	osu.32435003170404;loc.ark:/13960/t9w09r24p;gri.ark:/13960/t26982j9p;hvd.32044024364556
 Anatole France (trans. A. W. Evans)	On Life and Letters	
Ludwig Lewisohn	A Modern Book of Criticism	uc1.$b256371;hvd.hxcz7y;hvd.hwwjxp
Stephane Mallarme (trans. Bradford Cook)	Mallarme: Selected Prose Poems, Essays, and Letters	
Hayse Cooperman	The Aesthetics of Mallarme	
Leo Tolstoy	What Is Art?	uc1.31822016529968;hvd.32044085534279;mdp.39015007053500;uc2.ark:/13960/t05x2cb2d;hvd.32044049943426;nyp.33433073356572
George Santayana	The Nature of Beauty	
William Butler Yeats	The Symbolism of Poetry	
Benedetto Croce	Aesthetic	mdp.39015002728619;mdp.39015002728635
A. C. Bradley	Poetry for Poetry's Sake	
Sigmund Freud	Interpretation of Dreams	coo.31924028952632;uc1.c030675718
Sigmund Freud	Creative Writers and Daydreaming	
T. E. Hulme	Speculations: Essays on Humanism and the Philosophy of Art	
T. S. Eliot	Tradition and the Individual Talent	
T. S. Eliot	Selected Essays	
Irving Babbitt	Rousseau and Romanticism	uc1.b3562550;uc1.b3563309;mdp.39015002735408;mdp.39015004172436;mdp.39015008194824;uc1.32106001654489;hvd.32044009509738;hvd.32044011868403;hvd.32044021114855;mdp.39015055270899
C. G. Osgood	Boccaccio on Poetry	
Maud Bodkin	Archetypal Patterns in Poetry	
Northrop Frye	Anatomy of Criticism	
 Leon Trotsky (trans. Rose Strumsky)	Literature and Revolution	
Lee T. Lemon and Marion J. Reis, trans.	Russian Formalist Criticism	
I. A. Richards	Principles of Literary Criticism	
I. A. Richards	Science and Poetry	
I. A. Richards	Practical Criticism	mdp.39015000930910
J. C. Ransom	The New Criticism	
J. C. Ransom	The World's Body	
R. S. Crane	Critics and Criticism	
Murray Krieger	The New Apologists for Poetry	mdp.39015066079362;mdp.39015010719345;mdp.39015004199751;mdp.39015000531676;mdp.39015067888571;uc1.32106001660825
R. P. Blackmur	The Double Agent: Essays in Craft and Elucidation	
Edmund Wilson	Marxism and Literature	
Paul Valery	Poetry and Abstract Thought (vol. 7 of Collected Works)	
Kenneth Burke	The Philosophy of Literary Form	
Kenneth Burke	A Grammar of Motives	
Kenneth Burke	A Rhetoric of Motives	
Lionel Trilling	The Liberal Imagination	
Wallace Stevens	The Necessary Angel	
Robert Penn Warren and Cleanth Brooks	Understanding Poetry	
Robert Penn Warren and Cleanth Brooks	Understanding Fiction	
Ernst Cassirer	The Philosophy of Symbolic Forms	
W. K. Wimsatt and Cleanth Brooks	Literary Criticism	
W. K. Wimsatt and Monroe C. Beardsley	The Verbal Icon	
Cleanth Brooks	The Well Wrought Urn	
Jan Mukarovsky	A Prague School Reader on Esthetics, Literary Structure, and Style	
R. S. Crane	The Languages of Criticism and the Structure of Poetry	
Northrop Frye	Fearful Symmetry	
Northrop Frye	The Well-Tempered Critic	
Northrop Frye	The Educated Imagination	
Northrop Frye	A Natural Perspective	
Gaston Bachelard	The Poetics of Space	
E. D. Hirsch	Validity in Interpretation	
Roland Barthes	Elements of Semiology	
Roland Barthes	Image Music Text	
Roland Barthes	S/Z	
Richard Macksey and Eugenio Donato, eds.	The Languages of Criticism and the Sciences of Man: The Structuralist Controvery	
Alice Meynell	Essays	mdp.39015000612690;uc1.b3321694;uc2.ark:/13960/t39z97k6w;nyp.33433075769426;mdp.39015033669832;hvd.hwkq6z;mdp.39015000612708;mdp.39015050641094;uc2.ark:/13960/t5x63gx71;pst.000006737627
Amy Lowell	A Critical Fable	umn.319510016320851;uc2.ark:/13960/t81j9807x;uc2.ark:/13960/t1pg1jc4z
Harriet Monroe	Poets and their Art	
Louise Bogan	Selected Criticism	
Marianne Moore	Predilections	
Cora Kaplan	Salt and Bitter Good	
Cheryl Walker	The Nightingale's Burden	
Sandra Gilbert and Susan Gubar	Madwoman in the Attic	
Gloria T. Hull	Color Sex and Poetry	
Anne Mellor, Ed.	Romanticism and Feminism	
Maureen Honey	Shadowed Dreams: Women's Poetry of the Harlem Renaissance	
Norma Clarke	Ambitious Heights	
Donna Landry	Muses of Resistance	
Suzanne Clarke	Sentimental Modernism	
Angela Leighton	Victorian Women Poets	
Isobel Armstrong	Victorian Poetry	
Anne Mellor	Romanticism and Gender	
Maxine Kumin	Where We Stand	
Carol Shiner Wilson and Joel Hafner	Re-Visioning Romanticism: British Women Writers 1776-1837	
Mary Favret and Nicola Watson	At the Limits of Romanticism	
Carla L. Peterson	Doers of the Word	
Paula Feldman and Theresa Kelley	Romantic Women Writers	
Tricia Lootens	Lost Saints: Silence Gender and Victorian Literary Canonization.	
Jerome McGann	The Poetics of Sensibility	
Meredith McGill	Fieldwork: Sites in Literary and Cultural Studies	
Yopie Prins and Maeera Schreiber	Dwelling in Possibility: Women Poets and Critics on Poetry	
Douglas Gifford and Dorothy McMillan	A History of Scottish Women's Writing	
Karen Kilcup	Nineteenth-Century American Women Writers: A Critical Reader	
Yope Prins	Victorian Sappho	
Eliza Richards	Gender and the Poetics of Reception in Poe's Circle	
Eliza Richards	Emily Dickinson in Context	
Emma Liggins	Feminist Readings of Victorian Popular Texts	
Paula Bennett	Poets in the Public Sphere: The Emancipatory Project of American Women's Poetry 1800-1900	
Virginia Jackson	Dickinson's Misery: A Theory of Lyric Reading	
