author	title	ids
David Hume	 An Enquiry Concerning Human Understanding	mdp.39015005481109;loc.ark:/13960/t56d6pj1c;nyp.33433066998380;mdp.39015010445511;pst.000004270454;uc2.ark:/13960/t0qr4rk42;hvd.32044004833810;mdp.39076001881858
David Hume	 A Treatise of Human Nature	uc1.b4251391;uc1.b4251934;uva.x000093815;uc1.32106009586717;mdp.39015010445511;mdp.39015000678832;mdp.39015002630310;mdp.39015003849133;mdp.39015046799212;mdp.39015003849117
Benedictus de Spinoza	 Improvement of the Understanding 	mdp.39015004981091;uc1.b4251452;mdp.39015049220422;hvd.32044009503269;nyp.33433081628947;hvd.32044001566108;hvd.32044014572713
Benedictus de Spinoza	 Ethics 	mdp.39015049220422;hvd.32044009503269;uc1.b3928864;uc2.ark:/13960/t6445tj9d;hvd.32044020109542;yale.39002009727570;hvd.32044084613546;mdp.39015010922006;mdp.39015004981091;uc1.b4251452
John Locke	 An Essay Concerning Human Understanding	mdp.39015030048469;mdp.39015030048451;uva.x000459166;uva.x001005930;hvd.32044050790807;hvd.32044050790955;hvd.32044050793025;pst.000000716567;loc.ark:/13960/t6d233m47;loc.ark:/13960/t2t44z008
John Locke	 Two Treatises of Government	hvd.32044009555855;uiug.30112039642811;njp.32101075718633;mdp.39015027234338
John Abercrombie	 The Philosophy of the Moral Feeling	loc.ark:/13960/t9960r10p;loc.ark:/13960/t0tq73j11;loc.ark:/13960/t0ft9rp9x;umn.31951001875226s;nyp.33433068175490;nyp.33433081612818;hvd.hn6i56;wu.89094558830;hvd.ah5bwz;hvd.hnup57
Adam Smith	 The Wealth of Nations	njp.32101075729655;njp.32101075729663;njp.32101075729671;uc1.32106005440406;uc1.32106005401127;uc1.32106005761470;inu.39000005590364;coo.31924018860332;inu.39000005711531;nyp.33433010785081
Jean-Jacques Rousseau	 The Social Contract 	mdp.39015005762060;wu.89002175727;mdp.39015054073039;mdp.39015033288963;uc1.b5294896;mdp.39015005766210;mdp.39015071632009;mdp.39015071632017;hvd.32044087843249
Jean-Jacques Rousseau	 Emile 	wu.89101288959;wu.89101288934;wu.89101288942;mdp.39015062752939;mdp.39015008011259;mdp.39015033488712;mdp.39015033488704;mdp.39015033488696;njp.32101073310243;uc1.$b284848
John Stuart Mill	 Auguste Comte and Positivism	mdp.39015002369877;uc1.32106000049582;hvd.ah65fa;loc.ark:/13960/t9v12vw1m;uc1.31175000850597
John Stuart Mill	 On Liberty	hvd.32044009805839;hvd.32044012135117;hvd.hnqipd;mdp.39015003752741;hvd.hb0o3s;nyp.33433070240407;uc2.ark:/13960/t9t155654;uva.x000317614;hvd.32044010355436;hvd.hn3phv
John Stuart Mill	 Considerations on Representative Government	uva.x000310240;hvd.hxq9x3;uc1.32106001158556;uc1.b3462219;uc1.$b563143;miun.abx0154.0001.001;hvd.32044024183949;hvd.32044024211567;hvd.32044014473045;hvd.ah62uc
William James	 A Pluralistic Universe: Hibbert Lectures at Manchester College on the Present Situation in Philosophy	uc1.b3620605;uc2.ark:/13960/t6pz5b88s;hvd.32044009844028;hvd.32044024611881;pst.000005709083;ien.35556001375815
William James	 Essays in Radical Empiricism	mdp.39015003846774;mdp.39015003846782;hvd.32044014418537;hvd.ah6p9w;uc2.ark:/13960/t3mw2nc4n;nyp.33433070223593
Friedrich Nietzsche	 Beyond Good and Evil 	loc.ark:/13960/t9766qs4q;uva.x002755709;uiug.30112004595366
Friedrich Nietzsche	 The Antichrist 	uva.x004548471;hvd.32044014419766
Friedrich Nietzsche	 Thus Speaks Zarathustra 	
Friedrich Nietzsche	 The Case Of Wagner,  Nietzsche Contra Wagner,  and Selected Aphorisms 	
Friedrich Nietzsche	 Homer and Classical Philology 	uc1.$b305116;uc1.$b308720;hvd.32044079682696
John Stuart Mill	 Utilitarianism	hvd.32044014522049;hvd.hn6182;njp.32101066384411;uva.x000302610;njp.32101068998721;uc1.32106000044476;hvd.hw20nv;uc1.$b263800;uc2.ark:/13960/t6xw4bt1p;hvd.32044021580402
George Santayana	 Some Turns of Thought in Modern Philosophy: Five Essays	
Niccolò Machiavelli	 The Prince 	mdp.39015003656967;yale.39002053185527;nyp.33433081574265;hvd.32044015193758;uva.x000298320;hvd.hn1hsk;coo.31924032471454;hvd.hn3i7v;mdp.39015003657148;coo.31924030435352
Friedrich Engels and Karl Marx	 The Communist Manifesto 	
Nagarjuna	 Fundamental Verses on the Middle Way 	
Confucius	 The Analects of Confucius 	uc1.b3555101;uc2.ark:/13960/t45q51w33;uiug.30112113965278
Martin Heidegger	 Being and Time 	
Jeremy Bentham	 The Principles of Morals and Legislation	mdp.39015038058098;hvd.32044018736645;uc2.ark:/13960/t44q7xr8x;uc2.ark:/13960/t6tx3n73s;nyp.33433068175367;nyp.33433068175375;uc1.b4381239;uc1.32106005889057;mdp.35112104219904
Lenin	 State and Revolution 	hvd.32044020254421;wu.89001443928
Nishida Kitaro	 An Inquiry into the Good 	
Nishida Kitaro	 Thinking and Experience 	
Nishida Kitaro	 The Problem of Consciousness 	
John Dewey	 Democracy and Education	mdp.39015049797247;mdp.39015004151422;uc2.ark:/13960/t4gm83p6k;hvd.32044038458642;mdp.39015024475355;mdp.39015061013978;uc1.32106008754423;uc1.$b769366;uc1.b5193440;uiug.30112023373829
R.G. Collingwood	 Religion and Philosophy	wu.89085127371;uc2.ark:/13960/t17m0570n
Henri Bergson	 Time and Free Will: An Essay on the Immediate Data of Consciousness 	uiuo.ark:/13960/t9j38p33c;mdp.39015002330184;mdp.39015008821285;mdp.39015026435696
Michel de Montaigne	 Literary and Philosophical Essays: French,  German and Italian	mdp.39015054100436;mdp.39015033399737;uva.x002669977
Henri Bergson	 Matter and Memory 	uva.x030238274;inu.30000007084464;umn.31951000932511x;umn.31951000932512v
Henri Bergson	 Creative Evolution 	mdp.39015009019079;mdp.49015000800822;hvd.32044023323330;mdp.39015017637342;loc.ark:/13960/t03x93b05;hvd.32044021581178;hvd.32044106457310;hvd.32044023331622
Henri Bergson	 Laughter: An Essay on the Meaning of the Comic 	mdp.39015055841442;njp.32101076477650;mdp.49015000934506;mdp.39015083253750
Edmund Husserl	 Ideas 	mdp.49015002052539
Edmund Husserl	 Logical Investigations 	
